Country Name,2009,2010,2011,2012,2013,2014,2015,2016
Uganda,13.01725619,3.976552885,16.56434962,12.67903772,4.905208757,3.07570669,5.589686063,5.706375046
Ukraine,15.88119246,9.372931051,7.955724663,0.568727972,-0.238948626,12.07185629,48.69986464,13.9127102
Upper middle income,2.952300964,3.911061955,5.198142928,3.852160333,2.905927407,2.989975475,1.612661218,1.864132317
Uruguay,7.062218744,6.69870887,8.092832063,8.097765806,8.57513504,8.877353332,8.666269871,9.639413476
United States,-0.355546266,1.640043442,3.156841569,2.069337265,1.464832656,1.622222977,0.118627136,1.261583206
Uzbekistan,,,,,,,,
St. Vincent and the Grenadines,0.421539126,0.747109026,3.186031116,2.598444141,0.805127804,0.193858561,-1.73361195,-0.149641648
"Venezuela, RB",27.08094145,28.18746471,26.09021232,21.06899563,40.63942752,62.16864998,121.7380853,254.9485348
British Virgin Islands,,,,,,,,
Virgin Islands (U.S.),,,,,,,,
Vietnam,7.054558499,8.861600361,18.67550042,9.094216079,6.592255898,4.710018434,0.878603714,3.243567431
Vanuatu,4.29706573,2.762694695,0.873793105,1.347403629,1.458933718,0.798863838,2.483268757,0.842069084
World,2.860448559,3.348267068,4.839403499,3.731209508,2.594252844,2.294061072,1.431611458,1.471710456
Samoa,6.324953362,0.777007269,5.198142928,2.049018835,0.610085721,-0.406816088,0.724980678,1.306261183
Kosovo,-2.418595897,3.500819751,7.323891167,2.49175204,1.761965269,0.424540082,-0.538793103,0.300025002
"Yemen, Rep.",5.407760981,11.17483386,19.54356171,9.885387145,10.96844215,8.104725836,,
South Africa,7.264562145,4.063538973,5.017157733,5.723943662,5.776404135,6.136020151,4.509208278,6.594604415
Zambia,13.39525463,8.501761334,6.429396811,6.575899708,6.977676055,7.806875536,10.11059289,17.86973008
Zimbabwe,,3.034478884,3.477797293,3.72108722,1.631622019,-0.212939905,-2.409499988,-1.566412967
